0,1,2,3,4,5,6,7,8
WDR11-AS1,CTD-2015H6.3,RP11-242D8.1,TMEM63A,CTB-55O6.4,CTB-12A17.3,TTC26,MRGBP,DLG4
CABP7,RP1-92O14.3,ZNF763,KDM1A,RP11-135A24.4,ZSWIM4,SSTR3,KMT2E-AS1,CLDN7
RP11-731C17.2,RP11-379H18.1,RP5-1142A6.2,NFYB,PLCL1,SLC4A8,LINC00886,SAYSD1,RP11-434C1.1
PMP22,BBS12,TMEM238,TOLLIP-AS1,HOOK1,AC005944.2,KDM5C,ARL2BP,CCR4
KRT23,RP5-1148A21.3,NEB,HERC2,RP11-499P20.2,RSPH9,TGM1,PHF10,FAM102B
KIF2C,PDE1B,RP11-161M6.3,MICAL1,MARS2,TET2,USP24,NBN,RFX2
DTNA,LRRC69,RP11-540O11.6,SLC18B1,TRIM41,DAXX,C12orf44,COQ2,SEC14L2
CRYBG3,AC096772.6,AC110771.1,C17orf70,ME3,SMIM10,PBX4,AKIRIN1,ASB2
KB-1507C5.4,RP11-96K19.5,PM20D1,MRTO4,MFSD4,HLA-DQB1-AS1,POLK,PPTC7,MED20
WDR65,LINC00894,CORO2A,AGMAT,MIR4453,TIAM2,CNPY4,FARSA,ZKSCAN3
MYO10,RP11-367J11.2,PLCH2,RAB11B-AS1,BRCA2,ATP8B1,RNF146,EFCAB4B,RP4-673M15.1
TCAP,ZNF653,FGF14-AS2,KSR1,CTD-2369P2.2,ZFP30,AC006369.2,IFIT5,ZKSCAN4
TMPRSS3,IPO5,TRIM61,MAP3K2,RP11-1114A5.4,FOXRED2,STAP1,EFHC1,ACTL10
RBFOX2,TMTC3,AC017002.1,MED23,RP11-950C14.3,RP11-154J22.1,INTS1,AC016629.8,COLQ
DLG5,BBS10,CACNA1C,RP11-640M9.1,C1orf198,ENKUR,PHF12,TACC3,FLVCR2
RP11-764K9.1,KIAA1467,SLC10A1,ENOX2,RP11-730K11.1,ANKRD6,TXNL1,RBM34,TMEM67
RP1-317E23.3,RP11-110I1.13,PAPL,FLCN,RFPL2,PPP1R26,SIRT5,ZBTB11,TRIM62
CDC6,C11orf35,LOXL2,SNX9,RAD51AP1,C5AR2,SESTD1,CLASRP,ZNF81
LCN2,ZNF630,RP11-56B16.4,CRYZ,AGRN,UHRF1BP1,HSF2,BCL7A,MAGEE1
PLCH2,KISS1R,LINC01119,GTSF1,ZMYND19,TBC1D30,RAD51D,TBC1D2B,AP001053.11
AP001058.3,AC093391.2,FKBP9,MUM1,LBX2-AS1,INPP5A,AVPI1,KIF20B,THAP8
MMRN1,C5orf34,RP11-347C12.1,SBNO1,ZNF813,RP11-89K11.1,TMEM11,ATAD3A,RNLS
AL020996.1,ZNF778,PDE5A,SEC24B,AC104532.4,SRXN1,C3orf38,TEX30,ENTPD5
RP11-873E20.1,RAD52,ZNF625,PPP2CA,PRMT5-AS1,ZNF579,ZNF345,RUFY1,ZNF275
COL4A4,AP003068.23,RP11-571M6.7,CACUL1,RP11-158I9.5,KB-1460A1.5,DGCR8,MPPE1,ZNF674-AS1
SORBS1,TMEM117,KDELC1,PPP1R12C,BEX1,S100A13,SC5D,GATAD2B,LGALS9B
TMCC1-AS1,ABCC4,CRYGS,ABCB7,LINC00265,CEP152,DHX35,CCM2,POC1A
RP11-212I21.4,CPLX1,RP11-46J23.1,NME2,FIZ1,MCM4,CBY1,SPPL2A,AD000090.2
RP11-666A20.4,FAM53A,NUDT12,AL136376.1,HIST1H4H,ZNF714,SMAP1,SHMT1,KLK1
PDE5A,POMK,ADAMTSL5,CCDC153,TRIM47,RP11-727F15.12,SMURF2,ARHGEF7,PDZD4
KIAA1107,ROM1,TNFRSF21,FAM92A1,ZNF613,ALKBH4,DOLPP1,RIPK3,ZNF654
RP11-206L10.9,DNM3,ZNF711,MAGI3,CTD-2288F12.1,RP11-119F19.2,RP11-254F7.2,APOBEC3B,DGKQ
AP006222.2,CHN1,PTPRM,RP6-206I17.2,TMEM201,FYCO1,ARHGAP12,FURIN,SGOL2
OPLAH,SCD5,TLR9,RP11-456D7.1,PDZD7,CERS2,TGFBRAP1,RRP8,FGFRL1
RP11-863P13.2,ZFP41,RP11-290D2.3,CTD-2532N20.1,CTD-2368P22.1,QRSL1,SIRT1,KATNB1,SLC35G1
CTA-407F11.8,FSTL1,CPOX,TMEM136,LAYN,NPTN,ZNF780A,PPP2R5D,ZNF781
PKD2L1,RP1-28O10.1,SRBD1,GRIK4,FCHO2,ENTHD2,PLA2G15,ANKRD32,TRPM4
BNC2,CXCR1,PIK3C2A,RP11-195F19.9,CTB-152G17.6,BPGM,CARS,CDC34,KLHL15
L3MBTL4,LRP6,XRCC1,PRR7-AS1,CAHM,GBA2,BTBD1,MAGT1,CAPN3
RP11-286E11.1,TRIM2,KIAA0586,RP11-159D12.5,AC004257.3,C2orf69,POLH,SNAP47,TBC1D12
RP11-849F2.7,MSS51,ZNF268,ANKRD18B,UBALD1,GIN1,DISC1,LEMD3,RP11-85A1.3
RP11-314O13.1,ZNF77,SVIL,RP11-89F3.2,RNF212,LSM14B,ZNF574,LRRC42,CASK
RP5-1142A6.8,RP11-243J16.7,DLGAP4,RP11-403I13.4,STARD9,PAK1IP1,ZFYVE1,RPL39L,NPIPA1
PKN3,AC009120.10,MMS22L,SLC22A15,RP11-142C4.6,ACO1,NUP188,GNPNAT1,CTD-2020K17.4
TRAIP,DDX11-AS1,SLC25A4,CTD-2514K5.2,RP11-16E12.1,RNF103,ZNF160,STAT5B,RYR1
AC129492.6,AP4B1-AS1,FBLIM1,RP11-114O18.1,KRT72,ZNF589,ZNF623,CA2,CHM
TUSC1,SYDE2,DHX16,RP11-446E9.2,PLK4,CAPRIN2,BBS2,TAZ,SYCE1
RP11-54O7.17,JAM3,ANAPC4,LRP12,RSPH3,LMBRD2,DOPEY1,KLHL12,ALG11
SKA1,NCR3LG1,NEK3,LRRC46,CEACAM1,FURIN,METTL22,NSA2,C19orf40
AC137934.1,ANGPTL6,NMNAT1,LINC00968,TNKS2-AS1,ACSS2,MLH3,FBXO38,ENPP5
RP11-525A16.4,MMP11,ATAD3A,ZFPM1,AP000442.1,ALG13,ZBTB37,INPP5K,AFMID
PTPRM,TGFB1I1,SOCS4,RP4-781K5.2,PRPF40B,PLD2,DHX40,CYSLTR1,FAM169A
P2RY1,CHML,CUL4B,RP11-1079K10.4,ZFP69B,PIDD,ACAA1,ASTE1,KIAA1683
RP11-356C4.3,ANKRD10,INO80D,SV2A,RP11-701P16.5,FAM111A,MBIP,CLU,IL1RAP
CDON,RBM12B,CRAMP1L,ZFP2,AC005253.2,POLR2I,POT1,PRRC1,RP11-11N9.4
RP11-566K11.5,DAB2,PER3,PDGFB,CAND2,ILF3,CGRRF1,RICTOR,DDX11
TLL2,IL6,HCG11,GPR124,FAM111B,RMDN2,MLST8,TJAP1,ZNF575
SEPP1,FUT8,TADA2A,DMC1,RAVER1,BBS7,DFFA,CCR1,ETV5
DTX4,AHDC1,RARS2,RP11-443B7.3,ZNF510,RANBP2,EHBP1,ASGR2,PPP6R1
CTIF,ATP13A1,RP11-427H3.3,SAMD14,DNAAF1,PCID2,SERPINB8,SLC5A6,MASTL
RFPL1S,RGS3,RP11-87C12.2,NBPF20,MAPK11,FAS,KRR1,RBM22,RP5-1092A3.4
EVC,VWA8,KPNA1,GVQW1,PRSS36,SPIDR,ZNF44,TBL1X,CYP2U1
RP4-536B24.3,PLBD2,PPIL2,KCNAB3,RYR1,TMEM234,ZNF268,MFSD10,ADSSL1
RP11-36B15.1,POLR1C,CEP135,TMOD1,PIAS4,POFUT1,PLEKHM1,EMR2,RP11-755B10.4
C19orf18,TCEANC2,TMED7,RP11-173M1.8,TAF1A,MGMT,TMCC3,CLEC2B,ZSCAN5A
RP11-544A12.4,RP1-187B23.1,ERAL1,AC073115.7,ADAM9,UFM1,TOP2A,ZNF32,SLC35E2
RP11-242D8.1,IDE,RP11-894P9.1,C10orf95,LY75,APOL2,CHST10,DAZAP2,CELA1
RP11-293A21.1,KIAA0195,NBPF3,GRB10,ZNF654,ERAL1,DLEC1,LINC00665,GPR150
RP11-805J14.5,LRRC47,RP11-867G23.8,LINC00174,TRIM16L,USP25,RAD51AP1,CDK19,CTD-2538C1.2
FAM132A,GATAD1,ZNF354C,RAB23,ACOX3,WRAP53,RP11-181C3.1,YME1L1,ZRANB3
P2RY12,DROSHA,RP11-367G6.3,TTC4,CEP70,PNP,RP11-452L6.1,DTNBP1,CTD-2270L9.4
SLC2A1-AS1,RPS6KC1,SNIP1,RP11-17M16.1,CAMKMT,TXNDC15,CTD-3074O7.12,SH2D3C,RGS16
SCT,ZNF318,EPG5,PPP1R32,ELK4,CTB-31O20.2,RP11-815J21.2,SMC3,ARHGAP11B
CTB-96E2.7,CEP192,FDX1L,WBSCR27,KIAA1683,GNPNAT1,NAP1L3,SUCO,BAIAP2-AS1
RP11-279O9.4,JMJD4,RGL1,RP5-899E9.1,CTD-2270L9.4,TNRC6A,ANKLE1,SYMPK,NREP
RP11-362F19.3,AAMDC,KIF5C,ADAM22,FANCI,SYNJ1,IRAK1BP1,NIFK-AS1,ABCB10
CTH,PPP1R16A,RP11-297N6.4,CLDN12,MICALL1,PDCD2L,TTTY14,ZBTB10,PAQR3
LRRC26,DNAJA1,HDDC3,PHLPP1,GOLPH3L,CSTF3,NOS3,RP11-544A12.8,TYMS
C22orf43,ZNF3,PIGQ,AC109333.10,CELA1,KLHL12,CTB-55O6.4,AASDHPPT,ZNF28
RP11-359I18.5,UBXN2A,CXorf23,RP11-389O22.1,RNLS,B3GNTL1,GPAM,KCTD20,C19orf54
ALDH4A1,PARP3,NBN,RP1-244F24.1,SLC35G1,KIF3B,AC159540.1,USP12,CPNE8
BSPRY,EYA3,ZNF619,CH25H,PSMA7,XPO5,THAP9,FRMD8,FAM160B1
PADI2,CDK14,GSK3B,RP11-1151B14.4,KLHL42,FAM3C,ZNF717,ZBED1,RHOBTB2
CABLES1,FICD,INSL3,RP11-318C24.2,UBP1,CPEB2,CRYBG3-1,BOLA3,ARMCX1
ZBTB8A,RPH3AL,MYO1D,RP11-160H22.5,RGS16,CLDN23,AC069363.1,RPS17L,FAM45A
LINC00884,RP11-849F2.8,BBX,RP11-758P17.3,C19orf40,GPRC5C,CTD-2288F12.1,PARP6,FIBP
UCHL1,ATP1B1,MEF2BNB-MEF2B,ZNF70,GPR150,ZNF778,PRMT5-AS1,SMG7,ING4
HRASLS,CDC42BPB,RP4-583P15.10,RP11-126L15.4,ZNF781,RP11-61J19.4,PLTP,CCDC93,SLC31A2
CCR9,SLC25A32,AC097713.4,RP11-338C15.3,ABRACL,RP11-488L18.10,LINC00893,FAM43A,CTA-384D8.35
CTD-2012J19.3,PRRG2,TRIM46,SLC19A2,ZSCAN5A,FYTTD1,RP1-315G1.3,RAB33B,FDXACB1
RP11-351I24.1,ZKSCAN1,RP5-1125A11.1,C10orf105,CASK,CHCHD7,HOXA9,GEMIN2,LRRC29
CTD-2319I12.2,RP11-644F5.11,RP11-112J3.16,DSC2,RHOBTB2,CTC-428G20.6,LEKR1,ZFP90,FOXP4
RP11-452H21.4,ATP7A,ACVR2A,NRXN2,ABCB10,LEPR,RP11-513I15.6,CDK5RAP2,PDIA5
NPPA-AS1,SENP1,AC116366.6,FAM83G,ZFYVE26,MERTK,FIZ1,HEATR5B,MYO6
ZACN,FER,FXYD2,DAB1,SGOL2,GAB1,LINC00264,SLC27A5,FUK
C9orf169,LENG8-AS1,RP11-430H10.1,OOEP,DCBLD1,KIAA1467,RP5-1021I20.1,CERS2,MSANTD2
AGAP1,PGAM5,DDR1,SUGCT,DDX11,CDNF,ACSBG1,FAM208B,EPB41L2
C10orf111,PAPD7,U47924.30,VNN3,RCOR1,COL9A3,RAD21,ATP2A2,CRISPLD2
TMEM144,EDARADD,ZNF155,GPR126,AC025171.1,ITPRIPL2,PLEKHO2,RFX1,RP11-553L6.2
C5,MAST2,FANCE,TMEM81,ACPL2,B9D1,TRAF3IP1,PIP5K1A,SLC26A2
FAM106A,FBXL17,NETO2,AK4,ZNF674-AS1,RP11-536C5.7,AC005253.2,ADAL,DNAJC27-AS1
ARC,TENM1,MED14,PARK2,ANKRD27,AC096772.6,ZNF283,VCAN,SNX24
ABTB2,ZDHHC5,USP3,MLLT4,PPP3CB,KANK1,HIST1H4H,CHFR,FGGY
RP3-329E20.2,AC147651.3,FUBP1,BDNF-AS,IL1RAP,FGD6,BZRAP1,HSPA4,LINC01135
COLCA2,KCNMB4,VMAC,RP11-326C3.2,C19orf54,ZNRF2,MBOAT2,ANKRD12,PPP1R3B
RP11-529K1.4,PTCH1,ENTPD4,RAVER2,ALG11,ABCC5,INCENP,SMAD3,RTKN2
AC006547.15,TMEM80,RP11-138A9.2,RP3-399L15.3,FAM160B1,ZNF18,ZNF80,BCKDHA,TK1
RP11-830F9.6,NECAB3,TCEAL3,SHISA4,DPH1,GLTP,DNAJC11,CASC7,RP11-464F9.20
BOK,GIGYF2,RCN1,SLC16A10,LGALS9B,EPHB2,A2M,MBNL2,C17orf58
GPM6A,SEC24A,SMCHD1,RP11-134G8.7,RPRD1B,ZMPSTE24,DNASE1L3,FAM208A,AC115618.1
RP11-884K10.7,DPAGT1,DNAJC17,ADAM12,ALG14,ARHGAP19,APOOL,FBXW7,UBTD1
CUBN,SLC2A8,FBXO33,IL10,CIPC,IKZF4,AP000442.1,ETFDH,PIK3C2B
AC093642.3,GYG1,GABPB1,CRB1,PURB,KCTD7,FKBP7,HIST1H2BC,LINC01024
CTD-2033A16.3,PPOX,RNF170,CTA-373H7.7,RP11-124N14.3,CCSER1,SMNDC1,CALCOCO2,RP11-166P13.4
CDC25A,PCYOX1,MOGS,MOV10L1,RP11-522I20.3,AC009961.3,PRCC,MYO19,ZXDA
UBXN10,GTF3C2,RMND1,HOXA5,MBD5,LRTOMT,MAPK11,OXLD1,MBTD1
VPREB1,RP11-65I12.1,PEX19,AC007036.6,LDLR,FSD1L,MAP3K9,RANGAP1,RFESD
CCDC26,FAM178A,PUM1,DDTL,LRRC37B,KIAA0825,GRAMD1B,YKT6,DNAJB4
CTRL,IMP4,TEX30,GS1-114I9.1,SLC25A43,AP000769.7,TNKS2-AS1,NEK9,STK35
NRN1L,CERK,RABGAP1,C1QTNF4,PPM1N,CDKN3,GDPD3,RNF121,ZNF133
C10orf25,FAM149B1,ZNF821,RP11-101E13.5,LIG1,SKIV2L2,RP11-499P20.2,SCML1,RP11-223C24.1
C9orf47,MIR181A1HG,MLF2,TNKS1BP1,ING1,XXYLT1,FBXO22,ZUFSP,CRB3
SEMA5A,TMEM140,ADCK5,ZNF286B,UBR7,BBS4,C5orf42,CCNT2,AC007246.3
SPOCD1,KB-431C1.4,BCAS4,TPBG,ITGB3BP,LPCAT4,LAYN,PEX6,SCRIB
CBX2,CEP85,AIDA,COL13A1,WBP1,TTLL4,PRTFDC1,RP6-109B7.3,DFNB31
RP11-656D10.3,ICAM4,TRIM26,RP11-274B21.10,MAP1S,LDOC1L,C21orf58,TM2D1,NADK2
RIMS3,CASP5,DCTN4,CCDC136,ZNF324,NMRAL1,PRSS36,APAF1,SPAG4
RP11-362K14.6,TNFSF8,PARP4,AMER1,NAIF1,MOGS,GTDC1,AKR1C3,TDRKH
B3GALNT1,CDHR3,TMEM68,RAPGEFL1,DCUN1D4,MAPK6,CYB5R4,ASXL1,SOGA1
CTC-507E2.1,C9orf3,PFAS,RP11-492E3.2,TRMT61A,BAHD1,CTB-152G17.6,MIER1,AL590452.1
RP11-110I1.14,WDPCP,C2orf74,P2RY6,RP11-295P9.3,BSCL2,POC5,RNGTT,HAR1A
IL12A,STXBP3,GEMIN5,LINC00482,PTCD3,SNTB1,HLTF,LMF2,SNX21
RP11-211G3.2,ERCC8,PRC1,TCEAL2,FBXL20,USP28,ZNF236,ISOC1,PPP4R1L
CTB-91J4.1,KIAA1468,TEPP,LINC00630,C2orf74,TIPRL,IFIH1,TCEA3,PPARGC1B
AP001412.1,ZNF587,EXD2,RP11-339B21.13,ORC2,AC016586.1,SDPR,ADIPOR2,PVRL2
CCL3L1,DDX26B,FAM129B,KLHL11,NFE2L1,LYSMD3,CPOX,NUTM2A-AS1,CTA-250D10.23
TLR9,EXOSC3,C20orf201,RP11-203J24.8,HSD17B7,CCDC86,ZFP14,TMCO6,AC074183.4
RP11-312B8.1,BCL2L12,AP001372.2,HSPB9,NT5C3B,RPAP1,MIA3,GPATCH4,AC007228.9
PROS1,EPT1,ALS2,MIR181A2HG,SLC37A3,NUFIP1,STX7,RCC1,ZSCAN21
RP11-342M1.3,ZNRD1-AS1,EXO5,ZNF449,SERPINI1,MSANTD4,TXNDC9,CCDC174,MIEF2
CYP2J2,CAPN10-AS1,DARS2,PIFO,RRNAD1,CTU2,C9orf156,SPTY2D1,CYP51A1
C1orf177,NAB2,RP11-637A17.2,JARID2-AS1,SPTY2D1,PMM2,THOC3,KAT2A,RAI1
CECR6,LRFN1,COG8,MTCP1,CROCC,GMNN,NDUFS5,TRIB2,AC005076.5
RHOBTB1,CD3EAP,TAF5,ABHD16B,LUC7L,PHF13,LINC01137,SYS1,TPST1
TEX14,KIAA0226,RP11-1100L3.8,TDRP,ZFYVE19,HEXDC,FBLIM1,ZCCHC9,SLC36A1
LINC01094,FAM118B,ZNF329,ZFP37,PRIMPOL,ASB13,NDUFAF6,VAMP1,ZNF184
TMPRSS13,ZNF12,NR3C2,RP1-223E5.4,C4orf29,FDXR,MGRN1,CIC,C1QB
SAPCD2,TBL2,SWT1,RP1-257A7.5,NAA30,DNAH1,POLI,ZC3H3,P2RY14
RP11-420A6.2,FCHO1,RP11-445H22.3,LINC00304,MTG1,SLC9A6,CETN3,PEX26,NOD1
RP11-46J23.1,SCLY,GP1BA,RP1-90J20.12,PDP1,ECE2,RP11-386I14.4,FAM3A,IFFO2
SLC4A4,ZNF248,PRUNE,RP11-157J24.2,ZCCHC17,SLC39A13,EXD3,PMP22,NFE2L3
CRYGS,ZNF384,TRIM32,RP11-156K13.3,NUPL2,NICN1,SLC29A3,AC004540.4,TMEM150B
AP003068.9,HIST1H4E,HEMGN,LZTS1,MRPS33,MECR,AC023490.1,C19orf77,RP11-448A19.1
RP11-403A21.1,ACP5,HACE1,NPM2,EP400,RNF170,ETAA1,LAMP5,TRIM24
LCNL1,TMEM107,HIST1H2BJ,S100A5,MT-ATP8,SYT11,DNAJC16,SDS,PIGW
RP11-20B24.5,RFXANK,RP11-973H7.4,C9orf96,SLC4A7,C16orf70,CCDC43,CEP55,ZNF862
FA2H,FAF1,ALG10,PYCR1,THADA,SOAT1,MANEA,VPREB1,ZBED6CL
CDCA8,DHX38,NUTM2A-AS1,HKDC1,SNAPC2,RWDD2B,KIAA1147,AC011893.3,FAM153A
CXCL9,KCTD20,UTP23,RP5-1043L13.1,FNTA,SEMA4B,CRAMP1L,UCHL1,AGAP3
RP11-81A22.5,DHX30,GPR137B,CPA5,CAPRIN1,SLC25A12,ORC5,PROC,IGFBP4
EHHADH,HELQ,GFOD2,RP11-277B15.3,GLI4,STAG3,TOMM40L,SLCO4A1,TRIM66
DNAJC28,ACTA2,KDM2B,ZNF365,RIT1,ATMIN,SPATA33,PLS3,LEPREL4
SLC6A4,RREB1,POLD1,CYP4F35P,FBXO9,RASA3,UMPS,C1orf61,C7orf13
BOP1,C2CD5,TPK1,PGBD3,THOC3,GIGYF1,TBC1D9B,C9orf169,DLGAP3
AC099850.1,SLC25A22,ZNF721,PBX1,ZNF276,CECR5,STAT5A,CD1E,PSMC3IP
GS1-393G12.13,RP5-1007M22.2,REC8,UNC45B,TIMMDC1,DCAF13,TUBGCP5,CDH1,FAM177B
CTD-2215E18.1,CDIP1,RP11-66N24.3,RET,FXYD7,RNF40,ETV7,CDC25A,HPCAL4
PEBP4,COX15,AP4M1,ZNF777,CALCOCO2,USP20,CDK9,ESCO2,SAP30L
ZNF84,DGCR8,PARP2,FAM65C,SUPT7L,OGFRL1,SLC38A10,RP11-46D6.1,ZNF707
CALD1,CCNL2,NUP88,KCNH2,MDH1,MYO15B,PIGK,SHCBP1,RBBP8
RP11-429E11.3,SKI,ATP8A1,BAMBI,TOPORS,RBFA,UBXN2B,PKMYT1,ZDHHC20
TNFRSF21,MPZL3,ZNF25,RNF32,PEF1,CRKL,MICA,CDCA8,KIAA0101
SKA3,SNX15,QTRTD1,TRPV3,PNP,SGK3,FAM216A,NEK2,ZNF771
AC008440.5,RP11-254F7.2,RPE,LINC00106,ATF7IP2,SLC25A19,UBN2,FOXM1,RP11-1017G21.5
RP11-996F15.2,RP11-544A12.8,LMBRD2,ASMTL-AS1,PCSK1N,PRKAB1,KIAA1715,PBK,HAAO
LATS2-AS1,RP11-545E17.3,ZNF552,CASS4,MARK3,FBXL3,GOLGA5,MMD,EFCAB11
OVCH1-AS1,C5orf55,METAP1D,RP13-270P17.1,DBF4,EPRS,PDDC1,SLC35E3,RP11-817O13.8
LAMC1,CHST11,FAM21C,LL22NC03-86G7.1,VWA9,COL9A2,CASC3,EIF3J-AS1,SLC9A3R2
PKMYT1,PAPSS2,PLD2,PC,HGS,IGSF8,MDM2,HECA,ARRDC4
AC104655.3,RP1-315G1.3,EME2,TSPAN7,PKN2,GCLC,C7orf49,SRP14,SPATA41
ESCO2,AC005253.2,MCM4,HCG27,CASC3,AP4M1,MAGED1,ZBED5,CATSPER2
DUSP19,CCDC154,RP11-119F19.2,SYCP2,RASGRP1,RCAN1,C3orf17,HIVEP3,UNC119B
CERKL,CENPE,FAM229B,SLAMF8,TRIM52-AS1,NUP205,PAPD5,MED13L,RP4-816N1.6
SPR,TRAF3IP1,ZNF749,C20orf197,EDA,CPED1,NADSYN1,SLC39A4,LIN7A
CCDC78,AC004257.3,STRN3,ZNF674,NR2C2,STK3,ANKRD52,MRPL32,AMMECR1L
ZNF205,RP11-960L18.1,STAM2,CLCN5,SPIN3,DNAJC3,GBE1,RBM4B,KIAA1841
ADORA3,RP11-367J11.3,ZNF589,STX16-NPEPL1,RP6-99M1.2,SLC22A4,INADL,WBP4,C2orf40
CTB-178M22.2,ZNF669,TMTC4,LSM11,ZNF484,ZBTB5,CDK11B,SETDB1,TXNDC16
MAP1A,ZNF554,SENP5,AURKC,CHTF18,GLB1L,DDX20,IDH1,EPS8
KCNE1L,SLC16A1-AS1,TTC14,PRKAR2A-AS1,CXorf23,SLC46A1,EED,DTNB,TMEM110
GNMT,TONSL,NKIRAS1,LINC01146,CUL7,TONSL,DCAF15,SLC25A38,RP11-474G23.3
CASC5,AL353354.2,CD70,GCNT4,MAP6D1,RP11-506M13.3,CKS1B,KLHL7,APLF
KHDRBS2,TPM2,WDR43,COL6A1,AL627309.1,RP11-701P16.5,NECAP1,RP11-159D12.5,KATNAL1
C19orf77,PSPN,OBSCN,STON2,HMGN3-AS1,PQLC2,ZNF582,ZHX1,CDCA7
MEIS1,NAP1L3,SCYL3,PRR19,SNAPC1,RP11-513I15.6,ANP32E,FZR1,FBXO48
NUDT12,RAB11FIP5,BCDIN3D,XYLB,ARMCX4,RP11-135A24.4,C9orf41,TROAP,RP11-490O6.2
MYO1B,RPS10P7,B3GALTL,AC006129.1,FAM21A,RP11-815J21.2,RP11-74E22.3,SLC27A2,IKZF2
CRIP1-1,MARS2,NARS2,RP1-261D10.2,NAA60,AL354822.1,ALG9,NPIPB6,HDAC2
KIAA1211L,ZSCAN9,UMPS,CYP2S1,CCNE1,ACOT11,CCDC146,ZNF777,SSR4
LAMP5,RP11-730K11.1,LRRC28,RP11-95P2.1,ATAD3C,LENG9,ATAD3C,DNAL4,SSRP1
CTD-2085J24.4,AC011558.5,EPRS,RP11-95D17.1,TEC,RBAK,NAA60,SLAMF8,RPP25L
CTD-2587H19.1,ZMYND19,C6orf57,GP6,HIST1H1B,MAP7,NAGS,DMC1,NFIL3
AL928742.12,AC104532.4,CXorf40B,CTD-2555O16.4,RP5-943J3.2,CTD-2368P22.1,ZNF354C,SH3D21,ZNF408
CEBPA-AS1,PRRT1,DHX29,PDE8B,L3MBTL1,RP5-935K16.1,TRIM46,CAV1,RP11-819C21.1
FRMPD3,LINC00422,KDELR1,ITIH4,RP11-73K9.2,CDK20,STK36,RP4-583P15.15,ZNF45
KCNC4,RP11-395B7.4,PPP2R2D,CTD-2227I18.1,PVRL1,RP1-315G1.3,EPB42,ZNF33B,CPD
CRYM,INCENP,ST3GAL2,LGALS4,SETD9,CEACAM1,LRRC48,SRFBP1,GKAP1
HIST1H2BF,RP11-1114A5.4,LRRC8A,SPATA21,LRRC48,ZNF283,TVP23C,CMTM7,GPR42
CTD-3093M3.1,SMURF2,ASMTL-AS1,RP11-803B1.8,SMPD3,CTB-43P18.1,KDM8,ARHGAP15,ZNF142
RANBP17,SFXN4,RP5-1043L13.1,TGFBR3L,RP5-1085F17.3,COPZ2,RP11-298J20.3,DDX3Y,SACS
AC004381.6,WDR45,GVQW1,CTD-2353F22.1,PDP2,MAP4K3,ADAT2,GOLGA3,SMURF1
LHFP,APOBEC3D,SENP8,LNP1,ZNF670,GRK4,ZNF165,PHLDA1,PIP5K1B
AVEN,PNPLA4,RP11-261C10.3,CTD-3064H18.1,KMT2B,ATRN,CTD-2007H13.3,DMXL1,ZNF782
CTC-523E23.1,TOP2A,KCNAB3,PHLDB2,EPB42,PCNT,MTBP,STXBP3,UTP20
CTB-114C7.4,MYO1E,S100A5,CTC-454I21.3,MIR497HG,GOLPH3,GTF3C4,SPRYD7,RP11-66N11.8
KRT86,SGOL1,NLGN4Y,DCUN1D3,RP11-309G3.3,PAXIP1-AS2,CLDND2,RNF24,AC010883.5
CTD-2135D7.5,ZNF483,LINC00304,ZBED3,RP4-583P15.10,GARS,RGL1,CYTH2,IGFBP3
CTD-2583P5.3,USP3-AS1,LINC00852,RP4-789D17.5,RP11-258C19.7,POLD1,NANP,AKAP8L,C20orf96
TGM2,GDPD3,RGPD2,LRG1,RBM4B,C19orf68,UBAC2-AS1,CDC20,RP11-301O19.1
PAPL,BRCA2,CCDC136,TDRD9,NAGS,SH3BP5L,RP5-1085F17.3,RWDD4,QSOX2
RP11-466F5.8,IFT172,RASSF6,AC123768.4,STAP2,PIGA,PVR,GFRA2,VAV2
CIT,ZNF19,LINC00630,OTUD7A,INSL3,RP11-410L14.2,CPAMD8,ELMO2,ZNF736
PAGE5,ZNF813,RP1-224A6.3,CTD-2260A17.1,GNE,CCDC71L,CINP,RCE1,PLCB1
WNT10B,CTC-297N7.5,PYCR1,TCP10L,DKFZP434E1119,SLFN5,PDP2,ARFGAP1,DOLK
ZGPAT,ZBTB5,PLEKHH2,C2orf62,RP11-298J20.3,CCP110,C4orf36,MFSD8,ZER1
RTEL1-TNFRSF6B,PLEKHA7,OSGEPL1-AS1,NDN,GTF3C4,PNPT1,RP5-1125A11.1,TDRD3,EIF2AK3
ARSE,RPS19BP1,HKDC1,GPR153,RP11-672L10.6,MAPRE3,RP11-875O11.1,UGGT2,LIPE
SDS,NOS3,AP001046.6,GIPR,CTD-2007H13.3,GNL3,POPDC2,RP3-473L9.4,E2F1
CLCN4,TMIE,RP11-438L19.1,CKM,RP4-798A10.2,GTPBP2,SH3BGRL2,SLC15A2,TTC12
SEC14L5,TNKS2-AS1,RP5-1115A15.1,PRR22,CENPN,PPME1,INSL3,UGT2B17,FSTL3
C1orf61,WBP2NL,ZNF57,AC009950.2,FAM89A,MAP4K2,ZNF490,ZNF571-AS1,RNF31
KLHDC9,ACOT11,RP11-274B21.10,CEP170B,U47924.30,KLHL21,STARD8,PPM1J,ZNF322
NHS,CTD-2369P2.2,SLFNL1,AC004463.6,LINC00663,UBALD1,ZNF155,CKAP2L,SBNO2
BEND2,ZNF283,KLHL11,SLC4A5,MAGIX,MRPL50,ARL6,CNRIP1,ZNF551
