0,1,2,3,4,5,6,7,8
PABPC1,H2AFY,ITM2A,SEC62,PSMB9,SIGLEC10,BZW1,TMEM208,MPST
HSPA8,APLP2,PBXIP1,CD69,RORA,TESC,HNRNPA3,PSMB3,NDUFAF3
GIMAP7,LAMTOR1,RPL22,RPS16,SIT1,AP1S2,PRDX5,ATG3,GSTO1
GYPC,GPX4,CD69,RPL22L1,SNRPD2,NCF2,ACTG1,PLD4,LEPROT
SLC2A3,TPI1,PEBP1,ARHGAP24,ANXA2R,NAP1L1,AES,CSTB,VAPA
CD69,RBP7,RPS5,RCSD1,KLRD1,SOD2,CAP1,PHPT1,NT5C3A
NBEAL1,SMCO4,EEF1B2,PRKCB,FCRL6,FCGRT,LAMP1,MOB1A,RDH11
PRDX2,STX11,RPL37A,RPS9,GNLY,CHCHD10,PSMB9,GNG5,RBBP6
BTG2,FOLR3,PTPRCAP,CD53,RPS7,RHOA,HSPA5,MRPL41,FLNA
OXNAD1,HLA-DPB1,RPL36AL,MT-ND4,SRGN,RHOB,PSMB1,UQCR10,ADIPOR1
OCIAD2,ASAH1,SIT1,RALGPS2,PDIA3,ALDOA,ENSA,CAPN2,STX11
FLT3LG,RHOG,TOMM7,HHEX,LCP1,CFL1,YWHAQ,FKBP3,PTPN18
DDX5,SERP1,CORO1B,RPS15,GBP5,GNG5,PRMT2,RNASE6,UBAC2
TRAT1,BST1,BIN1,CCNI,STOM,CTSB,PPIB,EIF3L,MTPN
SRSF5,TGFBI,UBC,POU2AF1,AES,STX11,ARL6IP1,COPE,TPM3
JUN,KLF4,UBE2D3,RNASE6,ARL6IP5,TBXAS1,SERPINB1,UBL7,SPINT2
SH3YL1,PLAUR,RPL15,CD180,PTGDR,OAS1,SUN2,LAMTOR2,RAB10
AAK1,CLIC1,TNFRSF4,TXNIP,LSP1,NACA,ARPC4,ALDH2,ITGB3
NGFRAP1,MSRB1,DNAJB1,FCGR2B,KLF6,MAPKAPK3,FCRL6,H2AFV,CLDN5
RSL1D1,CARD16,GPR183,STRBP,TC2N,RBX1,EMP3,EPSTI1,FAXDC2
